id,name,sku,barcode,description,price,stock_quantity,category_name
496,Large Kitchen Towel,SKU-0496,1001001000496,Large Kitchen Towel - A detailed description of the product.,46.4,207,Electronics
497,Premium Water Bottle,SKU-0497,1001001000497,Premium Water Bottle - A detailed description of the product.,37.96,306,Beverages
498,Imported Cereal,SKU-0498,1001001000498,Imported Cereal - A detailed description of the product.,18.81,469,Home Essentials
499,Eco-friendly Soap Bar,SKU-0499,1001001000499,Eco-friendly Soap Bar - A detailed description of the product.,33.52,250,Electronics
500,High-Quality Body Wash,SKU-0500,1001001000500,High-Quality Body Wash - A detailed description of the product.,21.56,262,Stationery
501,Imported Air Freshener,SKU-0501,1001001000501,Imported Air Freshener - A detailed description of the product.,41.71,374,Electronics
502,Imported Soap Bar,SKU-0502,1001001000502,Imported Soap Bar - A detailed description of the product.,28.41,57,Electronics
503,Large Orange Juice,SKU-0503,1001001000503,Large Orange Juice - A detailed description of the product.,2.94,69,Stationery
504,Large Body Wash,SKU-0504,1001001000504,Large Body Wash - A detailed description of the product.,6.5,465,Electronics
505,Large Desk Lamp,SKU-0505,1001001000505,Large Desk Lamp - A detailed description of the product.,12.75,361,Electronics
506,Premium Bread,SKU-0506,1001001000506,Premium Bread - A detailed description of the product.,3.08,117,Beverages
507,Budget Cereal,SKU-0507,1001001000507,Budget Cereal - A detailed description of the product.,38.66,303,Beverages
508,Imported Cola,SKU-0508,1001001000508,Imported Cola - A detailed description of the product.,21.13,188,Clothing
509,Organic Soap Bar,SKU-0509,1001001000509,Organic Soap Bar - A detailed description of the product.,20.89,372,Home Essentials
510,Small Laptop Sleeve,SKU-0510,1001001000510,Small Laptop Sleeve - A detailed description of the product.,42.24,489,Groceries
511,Eco-friendly Coffee Powder,SKU-0511,1001001000511,Eco-friendly Coffee Powder - A detailed description of the product.,33.59,151,Electronics
512,Small Washing Powder,SKU-0512,1001001000512,Small Washing Powder - A detailed description of the product.,45.45,206,Electronics
513,Eco-friendly LED Bulb,SKU-0513,1001001000513,Eco-friendly LED Bulb - A detailed description of the product.,12.57,82,Electronics
514,Premium Butter,SKU-0514,1001001000514,Premium Butter - A detailed description of the product.,37.78,262,Furniture
515,High-Quality Bread,SKU-0515,1001001000515,High-Quality Bread - A detailed description of the product.,16.85,45,Furniture
516,High-Quality Energy Drink,SKU-0516,1001001000516,High-Quality Energy Drink - A detailed description of the product.,13.34,398,Stationery
517,Budget Butter,SKU-0517,1001001000517,Budget Butter - A detailed description of the product.,14.9,364,Personal Care
518,Imported Desk Lamp,SKU-0518,1001001000518,Imported Desk Lamp - A detailed description of the product.,36.4,308,Toys
519,Premium Air Freshener,SKU-0519,1001001000519,Premium Air Freshener - A detailed description of the product.,45.43,60,Clothing
520,Organic Notebook,SKU-0520,1001001000520,Organic Notebook - A detailed description of the product.,42.15,159,Clothing
521,Imported Bread,SKU-0521,1001001000521,Imported Bread - A detailed description of the product.,37.16,453,Home Essentials
522,Organic Floor Cleaner,SKU-0522,1001001000522,Organic Floor Cleaner - A detailed description of the product.,33.39,113,Personal Care
523,Small Smartphone Charger,SKU-0523,1001001000523,Small Smartphone Charger - A detailed description of the product.,47.51,198,Furniture
524,Large Coffee Powder,SKU-0524,1001001000524,Large Coffee Powder - A detailed description of the product.,24.0,81,Personal Care
525,Imported Shampoo,SKU-0525,1001001000525,Imported Shampoo - A detailed description of the product.,37.88,479,Groceries
526,Premium Cola,SKU-0526,1001001000526,Premium Cola - A detailed description of the product.,46.51,44,Personal Care
527,High-Quality Batteries,SKU-0527,1001001000527,High-Quality Batteries - A detailed description of the product.,38.22,149,Personal Care
528,Small Floor Cleaner,SKU-0528,1001001000528,Small Floor Cleaner - A detailed description of the product.,23.36,281,Home Essentials
529,Budget Milk,SKU-0529,1001001000529,Budget Milk - A detailed description of the product.,21.25,76,Electronics
530,Small Sugar,SKU-0530,1001001000530,Small Sugar - A detailed description of the product.,44.21,138,Personal Care
531,High-Quality Air Freshener,SKU-0531,1001001000531,High-Quality Air Freshener - A detailed description of the product.,19.45,430,Toys
532,Imported Cola,SKU-0532,1001001000532,Imported Cola - A detailed description of the product.,21.09,397,Furniture
533,Premium Shampoo,SKU-0533,1001001000533,Premium Shampoo - A detailed description of the product.,18.95,284,Clothing
534,Premium Shampoo,SKU-0534,1001001000534,Premium Shampoo - A detailed description of the product.,35.51,196,Groceries
535,Budget Butter,SKU-0535,1001001000535,Budget Butter - A detailed description of the product.,4.61,441,Personal Care
536,Large Body Wash,SKU-0536,1001001000536,Large Body Wash - A detailed description of the product.,20.36,373,Groceries
537,Small Kitchen Towel,SKU-0537,1001001000537,Small Kitchen Towel - A detailed description of the product.,38.32,45,Beverages
538,Imported Desk Lamp,SKU-0538,1001001000538,Imported Desk Lamp - A detailed description of the product.,27.33,315,Furniture
539,Imported Sugar,SKU-0539,1001001000539,Imported Sugar - A detailed description of the product.,14.39,465,Furniture
540,Eco-friendly Coffee Powder,SKU-0540,1001001000540,Eco-friendly Coffee Powder - A detailed description of the product.,28.31,27,Home Essentials
541,High-Quality Hair Dryer,SKU-0541,1001001000541,High-Quality Hair Dryer - A detailed description of the product.,1.44,371,Groceries
542,Small Coffee Powder,SKU-0542,1001001000542,Small Coffee Powder - A detailed description of the product.,36.79,351,Furniture
543,Eco-friendly Batteries,SKU-0543,1001001000543,Eco-friendly Batteries - A detailed description of the product.,11.33,165,Clothing
544,Eco-friendly Kitchen Towel,SKU-0544,1001001000544,Eco-friendly Kitchen Towel - A detailed description of the product.,37.79,424,Toys
545,Organic LED Bulb,SKU-0545,1001001000545,Organic LED Bulb - A detailed description of the product.,7.74,157,Groceries
546,Organic Bread,SKU-0546,1001001000546,Organic Bread - A detailed description of the product.,31.85,325,Beverages
547,Eco-friendly Chocolate Bar,SKU-0547,1001001000547,Eco-friendly Chocolate Bar - A detailed description of the product.,30.09,192,Furniture
548,Large Desk Lamp,SKU-0548,1001001000548,Large Desk Lamp - A detailed description of the product.,7.65,187,Home Essentials
549,Large Office Chair,SKU-0549,1001001000549,Large Office Chair - A detailed description of the product.,29.83,117,Groceries
550,Organic Rice,SKU-0550,1001001000550,Organic Rice - A detailed description of the product.,40.4,72,Stationery
551,Large Washing Powder,SKU-0551,1001001000551,Large Washing Powder - A detailed description of the product.,17.81,59,Toys
552,Small Toy Car,SKU-0552,1001001000552,Small Toy Car - A detailed description of the product.,16.08,195,Groceries
553,Budget Cola,SKU-0553,1001001000553,Budget Cola - A detailed description of the product.,6.96,121,Clothing
554,Premium Orange Juice,SKU-0554,1001001000554,Premium Orange Juice - A detailed description of the product.,23.04,193,Home Essentials
555,Organic Body Wash,SKU-0555,1001001000555,Organic Body Wash - A detailed description of the product.,30.68,305,Personal Care
556,Imported Milk,SKU-0556,1001001000556,Imported Milk - A detailed description of the product.,11.99,302,Furniture
557,Premium Desk Lamp,SKU-0557,1001001000557,Premium Desk Lamp - A detailed description of the product.,34.69,492,Toys
558,Organic Energy Drink,SKU-0558,1001001000558,Organic Energy Drink - A detailed description of the product.,35.15,120,Furniture
559,Large Cereal,SKU-0559,1001001000559,Large Cereal - A detailed description of the product.,47.17,305,Stationery
560,Small Energy Drink,SKU-0560,1001001000560,Small Energy Drink - A detailed description of the product.,4.58,64,Groceries
561,Small Butter,SKU-0561,1001001000561,Small Butter - A detailed description of the product.,23.38,138,Stationery
562,Eco-friendly Batteries,SKU-0562,1001001000562,Eco-friendly Batteries - A detailed description of the product.,12.15,155,Personal Care
563,Premium Floor Cleaner,SKU-0563,1001001000563,Premium Floor Cleaner - A detailed description of the product.,19.58,334,Furniture
564,Imported Shampoo,SKU-0564,1001001000564,Imported Shampoo - A detailed description of the product.,39.39,187,Beverages
565,Eco-friendly Water Bottle,SKU-0565,1001001000565,Eco-friendly Water Bottle - A detailed description of the product.,40.69,380,Stationery
566,Large Body Wash,SKU-0566,1001001000566,Large Body Wash - A detailed description of the product.,39.95,275,Electronics
567,High-Quality USB Cable,SKU-0567,1001001000567,High-Quality USB Cable - A detailed description of the product.,13.17,288,Groceries
568,Large Sugar,SKU-0568,1001001000568,Large Sugar - A detailed description of the product.,11.44,295,Clothing
569,Organic Chocolate Bar,SKU-0569,1001001000569,Organic Chocolate Bar - A detailed description of the product.,29.19,25,Personal Care
570,Imported Toy Car,SKU-0570,1001001000570,Imported Toy Car - A detailed description of the product.,42.73,161,Home Essentials
571,Premium LED Bulb,SKU-0571,1001001000571,Premium LED Bulb - A detailed description of the product.,8.05,486,Stationery
572,High-Quality USB Cable,SKU-0572,1001001000572,High-Quality USB Cable - A detailed description of the product.,18.61,434,Beverages
573,Large Chocolate Bar,SKU-0573,1001001000573,Large Chocolate Bar - A detailed description of the product.,42.55,202,Toys
574,Budget Hair Dryer,SKU-0574,1001001000574,Budget Hair Dryer - A detailed description of the product.,9.15,342,Stationery
575,Premium USB Cable,SKU-0575,1001001000575,Premium USB Cable - A detailed description of the product.,5.64,282,Electronics
576,Large Floor Cleaner,SKU-0576,1001001000576,Large Floor Cleaner - A detailed description of the product.,15.18,355,Beverages
577,High-Quality Hair Dryer,SKU-0577,1001001000577,High-Quality Hair Dryer - A detailed description of the product.,47.23,462,Clothing
578,Imported Bread,SKU-0578,1001001000578,Imported Bread - A detailed description of the product.,38.7,143,Furniture
579,Budget Pack of Pens,SKU-0579,1001001000579,Budget Pack of Pens - A detailed description of the product.,25.6,461,Beverages
580,Premium Smartphone Charger,SKU-0580,1001001000580,Premium Smartphone Charger - A detailed description of the product.,3.4,283,Groceries
581,Budget Batteries,SKU-0581,1001001000581,Budget Batteries - A detailed description of the product.,24.06,59,Beverages
582,High-Quality Soap Bar,SKU-0582,1001001000582,High-Quality Soap Bar - A detailed description of the product.,15.98,176,Home Essentials
583,Imported Rice,SKU-0583,1001001000583,Imported Rice - A detailed description of the product.,46.69,133,Stationery
584,Premium Milk,SKU-0584,1001001000584,Premium Milk - A detailed description of the product.,16.83,78,Personal Care
585,High-Quality Smartphone Charger,SKU-0585,1001001000585,High-Quality Smartphone Charger - A detailed description of the product.,45.57,329,Home Essentials
586,Organic Rice,SKU-0586,1001001000586,Organic Rice - A detailed description of the product.,25.4,62,Home Essentials
587,Large Desk Lamp,SKU-0587,1001001000587,Large Desk Lamp - A detailed description of the product.,29.73,174,Groceries
588,Budget Cola,SKU-0588,1001001000588,Budget Cola - A detailed description of the product.,12.07,364,Stationery
589,Organic Kitchen Towel,SKU-0589,1001001000589,Organic Kitchen Towel - A detailed description of the product.,28.77,396,Electronics
590,Eco-friendly Sugar,SKU-0590,1001001000590,Eco-friendly Sugar - A detailed description of the product.,21.23,349,Groceries
591,Organic Cereal,SKU-0591,1001001000591,Organic Cereal - A detailed description of the product.,19.99,50,Clothing
592,Imported Chocolate Bar,SKU-0592,1001001000592,Imported Chocolate Bar - A detailed description of the product.,40.59,32,Toys
593,Organic Energy Drink,SKU-0593,1001001000593,Organic Energy Drink - A detailed description of the product.,14.89,204,Groceries
594,Organic Water Bottle,SKU-0594,1001001000594,Organic Water Bottle - A detailed description of the product.,16.53,233,Stationery
595,Eco-friendly Soap Bar,SKU-0595,1001001000595,Eco-friendly Soap Bar - A detailed description of the product.,27.68,205,Home Essentials
596,Premium Soap Bar,SKU-0596,1001001000596,Premium Soap Bar - A detailed description of the product.,47.34,119,Beverages
597,Small Office Chair,SKU-0597,1001001000597,Small Office Chair - A detailed description of the product.,26.52,277,Beverages
598,Eco-friendly Shampoo,SKU-0598,1001001000598,Eco-friendly Shampoo - A detailed description of the product.,47.03,249,Electronics
599,High-Quality Rice,SKU-0599,1001001000599,High-Quality Rice - A detailed description of the product.,49.16,12,Clothing
600,Organic Bread,SKU-0600,1001001000600,Organic Bread - A detailed description of the product.,11.26,369,Stationery
601,Small Orange Juice,SKU-0601,1001001000601,Small Orange Juice - A detailed description of the product.,19.06,425,Electronics
602,Organic Office Chair,SKU-0602,1001001000602,Organic Office Chair - A detailed description of the product.,21.13,244,Clothing
603,Eco-friendly Coffee Powder,SKU-0603,1001001000603,Eco-friendly Coffee Powder - A detailed description of the product.,30.13,131,Stationery
604,Premium Body Wash,SKU-0604,1001001000604,Premium Body Wash - A detailed description of the product.,26.04,304,Furniture
605,Budget Bread,SKU-0605,1001001000605,Budget Bread - A detailed description of the product.,8.19,277,Personal Care
606,Imported Shampoo,SKU-0606,1001001000606,Imported Shampoo - A detailed description of the product.,38.22,110,Beverages
607,Budget Energy Drink,SKU-0607,1001001000607,Budget Energy Drink - A detailed description of the product.,25.49,417,Electronics
608,Small Smartphone Charger,SKU-0608,1001001000608,Small Smartphone Charger - A detailed description of the product.,24.11,257,Beverages
609,Organic Smartphone Charger,SKU-0609,1001001000609,Organic Smartphone Charger - A detailed description of the product.,40.41,228,Beverages
610,Eco-friendly Floor Cleaner,SKU-0610,1001001000610,Eco-friendly Floor Cleaner - A detailed description of the product.,11.36,354,Groceries
611,High-Quality Energy Drink,SKU-0611,1001001000611,High-Quality Energy Drink - A detailed description of the product.,31.64,302,Personal Care
612,Small Butter,SKU-0612,1001001000612,Small Butter - A detailed description of the product.,9.63,111,Toys
613,Budget Cereal,SKU-0613,1001001000613,Budget Cereal - A detailed description of the product.,7.7,435,Personal Care
614,Budget Chocolate Bar,SKU-0614,1001001000614,Budget Chocolate Bar - A detailed description of the product.,21.19,457,Personal Care
615,Imported Chocolate Bar,SKU-0615,1001001000615,Imported Chocolate Bar - A detailed description of the product.,32.44,138,Toys
616,High-Quality Washing Powder,SKU-0616,1001001000616,High-Quality Washing Powder - A detailed description of the product.,48.21,313,Home Essentials
617,High-Quality USB Cable,SKU-0617,1001001000617,High-Quality USB Cable - A detailed description of the product.,25.26,33,Electronics
618,High-Quality LED Bulb,SKU-0618,1001001000618,High-Quality LED Bulb - A detailed description of the product.,1.52,301,Home Essentials
619,Small Butter,SKU-0619,1001001000619,Small Butter - A detailed description of the product.,12.64,209,Furniture
620,Large Cola,SKU-0620,1001001000620,Large Cola - A detailed description of the product.,29.96,365,Electronics
621,Organic Shampoo,SKU-0621,1001001000621,Organic Shampoo - A detailed description of the product.,29.99,469,Toys
622,Eco-friendly Floor Cleaner,SKU-0622,1001001000622,Eco-friendly Floor Cleaner - A detailed description of the product.,6.8,52,Groceries
623,Small Kitchen Towel,SKU-0623,1001001000623,Small Kitchen Towel - A detailed description of the product.,5.06,91,Home Essentials
624,Imported Laptop Sleeve,SKU-0624,1001001000624,Imported Laptop Sleeve - A detailed description of the product.,25.01,177,Beverages
625,Organic Rice,SKU-0625,1001001000625,Organic Rice - A detailed description of the product.,4.18,262,Groceries
626,High-Quality Office Chair,SKU-0626,1001001000626,High-Quality Office Chair - A detailed description of the product.,47.39,444,Personal Care
627,Premium Notebook,SKU-0627,1001001000627,Premium Notebook - A detailed description of the product.,33.9,329,Electronics
628,Premium Butter,SKU-0628,1001001000628,Premium Butter - A detailed description of the product.,41.08,106,Personal Care
629,Premium Washing Powder,SKU-0629,1001001000629,Premium Washing Powder - A detailed description of the product.,10.97,290,Clothing
630,Imported Water Bottle,SKU-0630,1001001000630,Imported Water Bottle - A detailed description of the product.,37.54,449,Toys
631,Imported Milk,SKU-0631,1001001000631,Imported Milk - A detailed description of the product.,33.6,270,Electronics
632,Premium Batteries,SKU-0632,1001001000632,Premium Batteries - A detailed description of the product.,35.73,135,Clothing
633,Budget Kitchen Towel,SKU-0633,1001001000633,Budget Kitchen Towel - A detailed description of the product.,16.53,450,Groceries
634,High-Quality Butter,SKU-0634,1001001000634,High-Quality Butter - A detailed description of the product.,22.31,21,Clothing
635,Premium Toy Car,SKU-0635,1001001000635,Premium Toy Car - A detailed description of the product.,3.71,382,Groceries
636,Small Batteries,SKU-0636,1001001000636,Small Batteries - A detailed description of the product.,48.55,131,Electronics
637,Imported Washing Powder,SKU-0637,1001001000637,Imported Washing Powder - A detailed description of the product.,1.55,423,Home Essentials
638,Eco-friendly Orange Juice,SKU-0638,1001001000638,Eco-friendly Orange Juice - A detailed description of the product.,11.5,479,Toys
639,High-Quality Hair Dryer,SKU-0639,1001001000639,High-Quality Hair Dryer - A detailed description of the product.,34.22,374,Toys
640,Organic Floor Cleaner,SKU-0640,1001001000640,Organic Floor Cleaner - A detailed description of the product.,23.81,163,Groceries
641,Imported Sugar,SKU-0641,1001001000641,Imported Sugar - A detailed description of the product.,29.91,436,Home Essentials
642,Premium Sugar,SKU-0642,1001001000642,Premium Sugar - A detailed description of the product.,40.95,491,Toys
643,Premium Washing Powder,SKU-0643,1001001000643,Premium Washing Powder - A detailed description of the product.,17.06,329,Beverages
644,Imported Desk Lamp,SKU-0644,1001001000644,Imported Desk Lamp - A detailed description of the product.,10.39,161,Beverages
645,High-Quality Cola,SKU-0645,1001001000645,High-Quality Cola - A detailed description of the product.,34.32,322,Personal Care
646,High-Quality Sugar,SKU-0646,1001001000646,High-Quality Sugar - A detailed description of the product.,45.2,168,Home Essentials
647,Imported Pack of Pens,SKU-0647,1001001000647,Imported Pack of Pens - A detailed description of the product.,32.06,18,Beverages
648,Organic Sugar,SKU-0648,1001001000648,Organic Sugar - A detailed description of the product.,10.99,198,Personal Care
649,High-Quality USB Cable,SKU-0649,1001001000649,High-Quality USB Cable - A detailed description of the product.,37.99,76,Toys
650,Budget Hair Dryer,SKU-0650,1001001000650,Budget Hair Dryer - A detailed description of the product.,12.8,463,Furniture
651,Budget Water Bottle,SKU-0651,1001001000651,Budget Water Bottle - A detailed description of the product.,7.64,494,Groceries
652,Large Cereal,SKU-0652,1001001000652,Large Cereal - A detailed description of the product.,2.73,491,Groceries
653,Imported Washing Powder,SKU-0653,1001001000653,Imported Washing Powder - A detailed description of the product.,2.47,421,Electronics
654,Budget USB Cable,SKU-0654,1001001000654,Budget USB Cable - A detailed description of the product.,34.16,51,Electronics
655,Small Toy Car,SKU-0655,1001001000655,Small Toy Car - A detailed description of the product.,5.78,139,Beverages
656,Budget Coffee Powder,SKU-0656,1001001000656,Budget Coffee Powder - A detailed description of the product.,31.18,391,Groceries
657,Premium Toy Car,SKU-0657,1001001000657,Premium Toy Car - A detailed description of the product.,16.42,68,Clothing
658,Budget Air Freshener,SKU-0658,1001001000658,Budget Air Freshener - A detailed description of the product.,22.46,73,Furniture
659,High-Quality Desk Lamp,SKU-0659,1001001000659,High-Quality Desk Lamp - A detailed description of the product.,31.12,226,Stationery
660,Premium Batteries,SKU-0660,1001001000660,Premium Batteries - A detailed description of the product.,21.79,444,Clothing
661,High-Quality Notebook,SKU-0661,1001001000661,High-Quality Notebook - A detailed description of the product.,21.71,105,Electronics
662,Premium Butter,SKU-0662,1001001000662,Premium Butter - A detailed description of the product.,43.65,395,Stationery
663,Budget Laptop Sleeve,SKU-0663,1001001000663,Budget Laptop Sleeve - A detailed description of the product.,1.43,171,Electronics
664,Imported Bread,SKU-0664,1001001000664,Imported Bread - A detailed description of the product.,45.91,449,Toys
665,Eco-friendly Smartphone Charger,SKU-0665,1001001000665,Eco-friendly Smartphone Charger - A detailed description of the product.,28.99,249,Furniture
666,Eco-friendly Chocolate Bar,SKU-0666,1001001000666,Eco-friendly Chocolate Bar - A detailed description of the product.,44.47,271,Beverages
667,Organic Milk,SKU-0667,1001001000667,Organic Milk - A detailed description of the product.,46.29,350,Electronics
668,Organic Kitchen Towel,SKU-0668,1001001000668,Organic Kitchen Towel - A detailed description of the product.,40.25,169,Groceries
669,Budget Floor Cleaner,SKU-0669,1001001000669,Budget Floor Cleaner - A detailed description of the product.,13.8,138,Toys
670,Budget Bread,SKU-0670,1001001000670,Budget Bread - A detailed description of the product.,33.66,275,Personal Care
671,Imported USB Cable,SKU-0671,1001001000671,Imported USB Cable - A detailed description of the product.,47.27,178,Home Essentials
672,Budget Coffee Powder,SKU-0672,1001001000672,Budget Coffee Powder - A detailed description of the product.,36.19,149,Home Essentials
673,Large Bread,SKU-0673,1001001000673,Large Bread - A detailed description of the product.,4.72,241,Beverages
674,High-Quality Rice,SKU-0674,1001001000674,High-Quality Rice - A detailed description of the product.,16.69,211,Home Essentials
675,Premium Cola,SKU-0675,1001001000675,Premium Cola - A detailed description of the product.,32.71,62,Electronics
676,Budget Office Chair,SKU-0676,1001001000676,Budget Office Chair - A detailed description of the product.,32.97,30,Groceries
677,Organic Rice,SKU-0677,1001001000677,Organic Rice - A detailed description of the product.,2.4,495,Stationery
678,Small USB Cable,SKU-0678,1001001000678,Small USB Cable - A detailed description of the product.,17.5,95,Electronics
679,Imported Notebook,SKU-0679,1001001000679,Imported Notebook - A detailed description of the product.,23.24,337,Clothing
680,Small Batteries,SKU-0680,1001001000680,Small Batteries - A detailed description of the product.,12.21,373,Electronics
681,Small Bread,SKU-0681,1001001000681,Small Bread - A detailed description of the product.,8.81,358,Home Essentials
682,Eco-friendly Laptop Sleeve,SKU-0682,1001001000682,Eco-friendly Laptop Sleeve - A detailed description of the product.,6.59,220,Furniture
683,Premium Desk Lamp,SKU-0683,1001001000683,Premium Desk Lamp - A detailed description of the product.,2.55,338,Clothing
684,High-Quality Orange Juice,SKU-0684,1001001000684,High-Quality Orange Juice - A detailed description of the product.,45.82,65,Groceries
685,Budget Office Chair,SKU-0685,1001001000685,Budget Office Chair - A detailed description of the product.,11.62,282,Groceries
686,Premium Butter,SKU-0686,1001001000686,Premium Butter - A detailed description of the product.,6.98,372,Beverages
687,Organic Hair Dryer,SKU-0687,1001001000687,Organic Hair Dryer - A detailed description of the product.,15.01,167,Groceries
688,Large Smartphone Charger,SKU-0688,1001001000688,Large Smartphone Charger - A detailed description of the product.,14.61,241,Groceries
689,High-Quality Butter,SKU-0689,1001001000689,High-Quality Butter - A detailed description of the product.,38.62,267,Beverages
690,Small Cola,SKU-0690,1001001000690,Small Cola - A detailed description of the product.,49.16,204,Toys
691,Eco-friendly Toy Car,SKU-0691,1001001000691,Eco-friendly Toy Car - A detailed description of the product.,34.89,119,Clothing
692,Premium USB Cable,SKU-0692,1001001000692,Premium USB Cable - A detailed description of the product.,18.63,99,Toys
693,Budget Sugar,SKU-0693,1001001000693,Budget Sugar - A detailed description of the product.,9.99,438,Stationery
694,Eco-friendly Coffee Powder,SKU-0694,1001001000694,Eco-friendly Coffee Powder - A detailed description of the product.,9.3,38,Groceries
695,High-Quality Notebook,SKU-0695,1001001000695,High-Quality Notebook - A detailed description of the product.,19.38,167,Toys
696,Imported USB Cable,SKU-0696,1001001000696,Imported USB Cable - A detailed description of the product.,23.79,58,Personal Care
697,Premium Laptop Sleeve,SKU-0697,1001001000697,Premium Laptop Sleeve - A detailed description of the product.,10.39,499,Toys
698,Eco-friendly Sugar,SKU-0698,1001001000698,Eco-friendly Sugar - A detailed description of the product.,34.62,12,Furniture
699,Eco-friendly Body Wash,SKU-0699,1001001000699,Eco-friendly Body Wash - A detailed description of the product.,2.52,204,Beverages
700,Budget Floor Cleaner,SKU-0700,1001001000700,Budget Floor Cleaner - A detailed description of the product.,17.54,340,Stationery
701,Imported Laptop Sleeve,SKU-0701,1001001000701,Imported Laptop Sleeve - A detailed description of the product.,32.42,68,Home Essentials
702,Large Air Freshener,SKU-0702,1001001000702,Large Air Freshener - A detailed description of the product.,5.69,364,Home Essentials
703,Organic Smartphone Charger,SKU-0703,1001001000703,Organic Smartphone Charger - A detailed description of the product.,15.64,447,Home Essentials
704,Large Water Bottle,SKU-0704,1001001000704,Large Water Bottle - A detailed description of the product.,25.16,357,Stationery
705,Premium Shampoo,SKU-0705,1001001000705,Premium Shampoo - A detailed description of the product.,49.83,133,Stationery
706,Large Cereal,SKU-0706,1001001000706,Large Cereal - A detailed description of the product.,15.08,311,Personal Care
707,Small Laptop Sleeve,SKU-0707,1001001000707,Small Laptop Sleeve - A detailed description of the product.,21.18,362,Clothing
708,Organic Shampoo,SKU-0708,1001001000708,Organic Shampoo - A detailed description of the product.,10.49,63,Stationery
709,Small Shampoo,SKU-0709,1001001000709,Small Shampoo - A detailed description of the product.,11.66,221,Stationery
710,Eco-friendly Bread,SKU-0710,1001001000710,Eco-friendly Bread - A detailed description of the product.,17.75,436,Clothing
711,Budget Bread,SKU-0711,1001001000711,Budget Bread - A detailed description of the product.,43.29,75,Personal Care
712,Large Notebook,SKU-0712,1001001000712,Large Notebook - A detailed description of the product.,34.96,357,Personal Care
713,Eco-friendly Kitchen Towel,SKU-0713,1001001000713,Eco-friendly Kitchen Towel - A detailed description of the product.,19.36,419,Beverages
714,Premium Milk,SKU-0714,1001001000714,Premium Milk - A detailed description of the product.,11.79,480,Toys
715,High-Quality Chocolate Bar,SKU-0715,1001001000715,High-Quality Chocolate Bar - A detailed description of the product.,7.83,22,Clothing
716,Large Cereal,SKU-0716,1001001000716,Large Cereal - A detailed description of the product.,27.97,473,Clothing
717,Premium Pack of Pens,SKU-0717,1001001000717,Premium Pack of Pens - A detailed description of the product.,39.62,206,Furniture
718,High-Quality Air Freshener,SKU-0718,1001001000718,High-Quality Air Freshener - A detailed description of the product.,13.15,455,Personal Care
719,Imported Sugar,SKU-0719,1001001000719,Imported Sugar - A detailed description of the product.,12.07,302,Beverages
720,Premium Body Wash,SKU-0720,1001001000720,Premium Body Wash - A detailed description of the product.,41.24,159,Beverages
721,Imported Energy Drink,SKU-0721,1001001000721,Imported Energy Drink - A detailed description of the product.,12.92,266,Furniture
722,Large Cola,SKU-0722,1001001000722,Large Cola - A detailed description of the product.,42.63,446,Personal Care
723,High-Quality Water Bottle,SKU-0723,1001001000723,High-Quality Water Bottle - A detailed description of the product.,19.48,447,Beverages
724,High-Quality Batteries,SKU-0724,1001001000724,High-Quality Batteries - A detailed description of the product.,35.74,342,Electronics
725,High-Quality Water Bottle,SKU-0725,1001001000725,High-Quality Water Bottle - A detailed description of the product.,15.41,385,Toys
726,Eco-friendly Rice,SKU-0726,1001001000726,Eco-friendly Rice - A detailed description of the product.,3.61,208,Groceries
727,Eco-friendly Body Wash,SKU-0727,1001001000727,Eco-friendly Body Wash - A detailed description of the product.,24.65,282,Electronics
728,High-Quality Shampoo,SKU-0728,1001001000728,High-Quality Shampoo - A detailed description of the product.,49.17,386,Toys
729,Premium Batteries,SKU-0729,1001001000729,Premium Batteries - A detailed description of the product.,42.0,200,Furniture
730,Eco-friendly Office Chair,SKU-0730,1001001000730,Eco-friendly Office Chair - A detailed description of the product.,41.28,132,Beverages
731,Imported USB Cable,SKU-0731,1001001000731,Imported USB Cable - A detailed description of the product.,3.87,320,Clothing
732,Budget Pack of Pens,SKU-0732,1001001000732,Budget Pack of Pens - A detailed description of the product.,48.52,134,Stationery
733,Imported Coffee Powder,SKU-0733,1001001000733,Imported Coffee Powder - A detailed description of the product.,11.9,381,Stationery
734,High-Quality Coffee Powder,SKU-0734,1001001000734,High-Quality Coffee Powder - A detailed description of the product.,41.34,333,Beverages
735,Eco-friendly Sugar,SKU-0735,1001001000735,Eco-friendly Sugar - A detailed description of the product.,15.78,253,Clothing
736,Imported Toy Car,SKU-0736,1001001000736,Imported Toy Car - A detailed description of the product.,1.21,94,Personal Care
737,Budget Rice,SKU-0737,1001001000737,Budget Rice - A detailed description of the product.,24.37,352,Clothing
738,Budget Pack of Pens,SKU-0738,1001001000738,Budget Pack of Pens - A detailed description of the product.,37.17,25,Groceries
739,Large Kitchen Towel,SKU-0739,1001001000739,Large Kitchen Towel - A detailed description of the product.,48.97,486,Beverages
740,Large Rice,SKU-0740,1001001000740,Large Rice - A detailed description of the product.,49.55,276,Furniture
741,Eco-friendly Shampoo,SKU-0741,1001001000741,Eco-friendly Shampoo - A detailed description of the product.,19.74,464,Beverages
742,Budget Smartphone Charger,SKU-0742,1001001000742,Budget Smartphone Charger - A detailed description of the product.,41.19,399,Electronics
743,Eco-friendly Toy Car,SKU-0743,1001001000743,Eco-friendly Toy Car - A detailed description of the product.,8.92,86,Toys
